Time_Acc,Acc_x,Acc_y,Acc_z,Time_Gra,Gra_x,Gra_y,Gra_z,Time_Gyr,Gyr_x,Gyr_y,Gyr_z,Time_Light,Light,Time_LAcc,LAcc_x,LAcc_y,LAcc_z,Time_Mag,Mag_x,Mag_y,Mag_z,Time_Pres,Pres,Time_Prox,Prox,Time_ReHum,ReHum,Time_Rov,Rov_w,Rov_x,Rov_y,Rov_z,Time_SteCou,SteCou,Time_TSD,TSD_value,id,scenario,behavior,class
1510572037992.0,-0.3701477,-0.046051025,9.462387,1510572038009.0,-0.43110994,-0.028941084,9.797127,1510572038001.0,0.0004119873,0.0010528564,-0.001739502,0,0,1510572038009.0,0.045178026,-0.01816956,0.02396202,1510572038026.0,-24.905396,12.690735,-40.631104,1510572038020.0,1015.51184,0,0,0,0,1510572038010.0,0.011617243,0.018724173,-0.5828007,0.81231636,0,0,0,0,0,0,0,0
1510572038121.0,-0.42965698,-0.043670654,9.469528,1510572038131.0,-0.43150577,-0.030362722,9.797105,1510572038131.0,-0.0017242432,-0.001083374,-0.001739502,0,0,1510572038132.0,-0.013723552,-0.014403675,0.025984764,1510572038156.0,-23.867798,12.347412,-39.95819,1510572038146.0,1015.51184,0,0,0,0,1510572038132.0,0.011572265,0.018781522,-0.58289355,0.812249,0,0,0,0,0,0,0,0
1510572038251.0,-0.45108032,0.0015563965,9.562363,1510572038262.0,-0.43508336,-0.024300251,9.796964,1510572038261.0,0.0004119873,-1.5258789e-05,0.00039672852,0,0,1510572038263.0,-0.031106472,0.025012752,0.105626106,1510572038288.0,-23.176575,13.0355835,-41.304016,1510572038283.0,1015.51184,0,0,0,0,1510572038263.0,0.011923123,0.018753853,-0.58259916,0.8124558,0,0,0,0,0,0,0,0
1510572038382.0,-0.4034729,-0.046051025,9.460007,1510572038406.0,-0.43362725,-0.02840624,9.797017,1510572038404.0,-0.00065612793,-1.5258789e-05,-0.0006713867,0,0,1510572038408.0,0.01537323,-0.018613072,-0.0030584335,1510572038420.0,-25.250244,14.070129,-41.304016,1510572038410.0,1015.51184,0,0,0,0,1510572038409.0,0.011714695,0.018812375,-0.58281714,0.8123011,0,0,0,0,0,0,0,0
1510572038513.0,-0.43441772,-0.0317688,9.448105,1510572038527.0,-0.43587863,-0.029933644,9.796913,1510572038524.0,-0.00065612793,-1.5258789e-05,0.00039672852,0,0,1510572038527.0,-0.013731003,-0.002878448,-0.0073509216,1510572038548.0,-25.424194,11.485291,-41.13617,1510572038538.0,1015.51184,0,0,0,0,1510572038528.0,0.011721553,0.018949153,-0.5829521,0.81220096,0,0,0,0,0,0,0,0
1510572038643.0,-0.410614,-0.03414917,9.41954,1510572038654.0,-0.4332942,-0.024788182,9.797042,1510572038653.0,0.0009613037,0.00019836426,0.0002593994,0,0,1510572038654.0,0.0073233545,-0.010239532,-0.030274391,1510572038679.0,-24.732971,12.519836,-41.471863,1510572038667.0,1015.51184,0,0,0,0,1510572038655.0,0.011849557,0.018694261,-0.5825938,0.81246203,0,0,0,0,0,0,0,0
1510572038774.0,-0.41537476,-0.019866943,9.436203,1510572038786.0,-0.43320212,-0.023985932,9.797048,1510572038785.0,-0.00010681152,0.00019836426,0.0013275146,0,0,1510572038787.0,0.002700299,0.0032814182,-0.0187397,1510572038809.0,-23.695374,11.140442,-38.446045,1510572038807.0,1015.51184,0,0,0,0,1510572038788.0,0.01187892,0.018667331,-0.58254397,0.812498,0,0,0,0,0,0,0,0
1510572038904.0,-0.4439392,0.0015563965,9.533798,1510572038919.0,-0.43694398,-0.022665514,9.796885,1510572038914.0,-0.00010681152,0.00019836426,0.0002593994,0,0,1510572038920.0,-0.021875262,0.023450041,0.07054424,1510572038939.0,-24.214172,13.380432,-41.97693,1510572038933.0,1015.51184,0,0,0,0,1510572038920.0,0.012044787,0.018783322,-0.5825371,0.81249774,0,0,0,0,0,0,0,0
1510572039034.0,-0.4272766,-0.019866943,9.500473,1510572039045.0,-0.4380946,-0.024692653,9.796828,1510572039044.0,0.0009613037,-0.000869751,-0.0008087158,0,0,1510572039045.0,-0.0036630034,0.0040095076,0.02747345,1510572039069.0,-24.386597,12.174988,-40.800476,1510572039059.0,1015.51184,0,0,0,0,1510572039046.0,0.011998338,0.018889144,-0.58268076,0.812393,0,0,0,0,0,0,0,0
1510572039167.0,-0.4272766,-0.005584717,9.460007,1510572039175.0,-0.43984747,-0.021079365,9.796759,1510572039175.0,-0.00010681152,-0.0019378662,-0.0008087158,0,0,1510572039176.0,-0.00221169,0.014786206,-0.007498741,1510572039199.0,-23.867798,12.347412,-41.641235,1510572039191.0,1015.51184,0,0,0,0,1510572039177.0,0.012195987,0.018857144,-0.5824982,0.8125217,0,0,0,0,0,0,0,0
