WBS Number,Title,开始,结束,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
2.1.2.3.2.14,第七章@ GYFYH finish,2019/2/18 下午9:30,2019/2/18 下午9:30,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.13,,,￥1.00,￥1.00
2.1.2.3.2.15,GYFYH@第八章,2019/2/18 下午9:30,2019/2/20 上午9:15,2 天 2 小时 45 分,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.14,,0,￥1.00,￥2.00
2.1.2.3.2.16,第八章@ GYFYH finish,2019/2/20 上午9:15,2019/2/20 上午9:15,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.15,,,￥1.00,￥1.00
2.1.2.3.2.17,GYFYH@第九章,2019/2/20 下午9:00,2019/2/22 上午8:45,2 天 2 小时 45 分,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.16,,0,￥1.00,￥2.00
2.1.2.3.2.18,第九章@ GYFYH finish,2019/2/22 上午8:45,2019/2/22 上午8:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.17,,,￥1.00,￥1.00
2.1.2.3.2.19,GYFYH@第十章,2019/2/22 上午8:45,2019/2/23 下午12:30,2 天 2 小时 15 分,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.18,,0,￥1.00,￥2.00
2.1.2.3.2.20,第十章@ GYFYH finish,2019/2/23 下午12:30,2019/2/23 下午12:30,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.19,,,￥1.00,￥1.00
2.1.2.3.2.21,GYFYH@第十一章,2019/2/23 下午12:30,2019/2/23 下午8:30,7 小时 30 分,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.20,,0,￥1.00,￥2.00
2.1.2.3.2.22,第十一章@ GYFYH finish,2019/2/23 下午8:30,2019/2/23 下午8:30,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.21,,,￥1.00,￥1.00
2.1.2.3.2.23,GYFYH@第十二章,2019/2/23 下午8:30,2019/2/24 下午12:30,7 小时 30 分,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.22,,0,￥1.00,￥2.00
